"","Attitude","gender","Age","Stra","Deep","Points","Surf"
"1",3.7,"F",53,3.375,3.58333333333333,25,2.58333333333333
"2",3.1,"M",55,2.75,2.91666666666667,12,3.16666666666667
"3",2.5,"F",49,3.625,3.5,24,2.25
"4",3.5,"M",53,3.125,3.5,10,2.25
"5",3.7,"M",49,3.625,3.66666666666667,22,2.83333333333333
"6",3.8,"F",38,3.625,4.75,21,2.41666666666667
"7",3.5,"M",50,2.25,3.83333333333333,21,1.91666666666667
"8",2.9,"F",37,4,3.25,31,2.83333333333333
"9",3.8,"M",37,4.25,4.33333333333333,24,2.16666666666667
"10",2.1,"F",42,3.5,4,26,3
"11",3.9,"M",37,3.625,3.58333333333333,31,2.66666666666667
"12",3.8,"F",34,4.75,3.83333333333333,31,2.41666666666667
"13",2.4,"F",34,3.625,4.25,23,2.25
"14",3,"F",34,3.5,3.33333333333333,25,2.75
"15",2.6,"M",35,1.75,4.16666666666667,21,2.33333333333333
"16",4.1,"F",33,3.875,3.66666666666667,31,2.33333333333333
"17",2.6,"F",32,1.375,4.08333333333333,20,2.91666666666667
"18",2.6,"F",44,3.25,3.5,22,2.5
"19",1.7,"M",29,3,4.08333333333333,9,3.75
"20",2.7,"F",30,3.75,4,24,2.75
"21",3.9,"M",27,2.625,3.91666666666667,28,2.33333333333333
"22",3.4,"M",29,2.375,4,30,2.41666666666667
"23",2.7,"F",31,3.625,4,24,3
"24",2.3,"F",37,2.75,3.66666666666667,9,2.41666666666667
"25",3.7,"F",26,1.75,3.66666666666667,26,2.83333333333333
"26",4.4,"F",26,3.25,4.41666666666667,32,3.16666666666667
"27",4.1,"M",30,4,3.91666666666667,32,3
"28",3.7,"F",33,3.625,3.75,33,2
"29",2.5,"F",33,2.875,3.25,29,3.5
"30",3,"M",28,3,3.58333333333333,30,3.75
"31",3.4,"M",26,1.625,4.91666666666667,19,2.5
"32",3.2,"F",27,3.25,3.58333333333333,23,2.08333333333333
"33",2,"F",25,3.5,2.91666666666667,19,2.41666666666667
"34",2.4,"F",31,3,3.66666666666667,12,2.58333333333333
"35",4.2,"M",20,3.25,4.5,10,1.58333333333333
"36",1.6,"F",39,1.875,4.08333333333333,11,2.83333333333333
"37",3.1,"M",38,4.375,3.83333333333333,20,1.83333333333333
"38",3.8,"M",24,3.625,3.25,26,2.41666666666667
"39",3.8,"M",26,2.5,2.33333333333333,31,3.25
"40",3.3,"M",25,1.25,3.33333333333333,20,3.41666666666667
"41",1.7,"F",30,4,4.08333333333333,23,3.41666666666667
"42",2.5,"F",25,3,2.91666666666667,12,3.16666666666667
"43",3.2,"M",30,2.5,3.33333333333333,24,3.5
"44",3.5,"F",48,4.875,3.83333333333333,17,2.66666666666667
"45",3.2,"F",24,5,3.66666666666667,29,2.41666666666667
"46",4.2,"F",40,4.375,4.66666666666667,23,3.58333333333333
"47",3.1,"M",25,3.25,3.75,28,2.08333333333333
"48",3.9,"F",23,4,3.41666666666667,31,3.75
"49",1.9,"F",25,3.125,4.16666666666667,23,2.91666666666667
"50",2.1,"F",23,2.5,2.91666666666667,25,2.91666666666667
"51",2.5,"M",27,3.125,4.16666666666667,18,2.41666666666667
"52",3.2,"M",25,3.25,3.58333333333333,19,3
"53",3.2,"M",23,2.125,2.83333333333333,22,3.41666666666667
"54",2.6,"F",23,2.75,4,25,2.91666666666667
"55",2.3,"F",23,2.375,2.91666666666667,21,3.25
"56",3.8,"F",45,3.125,3,9,3.25
"57",2.8,"F",22,4,4.08333333333333,28,2.33333333333333
"58",3.3,"F",23,4,2.91666666666667,25,3.25
"59",4.8,"M",21,2.25,3.5,29,2.5
"60",4,"M",21,3.25,4.33333333333333,33,1.75
"61",4,"F",21,3.625,4.25,33,2.25
"62",4.7,"F",21,3.625,3.41666666666667,25,2.08333333333333
"63",2.3,"F",26,2.5,3.08333333333333,18,2.83333333333333
"64",3.1,"F",25,1.875,4.58333333333333,22,2.83333333333333
"65",2.7,"F",26,2,3.41666666666667,17,2.41666666666667
"66",4.1,"M",21,1.875,3.41666666666667,25,2.25
"67",3.4,"F",23,4,3.41666666666667,28,2.83333333333333
"68",2.5,"F",22,2.875,3.58333333333333,22,2.25
"69",2.1,"F",22,3.875,1.58333333333333,26,1.83333333333333
"70",1.4,"F",22,2.5,3.33333333333333,11,2.91666666666667
"71",1.9,"F",23,2.75,4.33333333333333,29,2.91666666666667
"72",3.7,"M",22,4.5,4.41666666666667,22,2.08333333333333
"73",3.2,"M",23,3.375,4.83333333333333,21,2.33333333333333
"74",2.8,"M",24,2.625,3.08333333333333,28,2.41666666666667
"75",4.1,"F",22,4.125,3,33,2.75
"76",2.5,"F",23,2.625,4.08333333333333,16,3.25
"77",2.8,"M",22,2.25,4.08333333333333,31,1.75
"78",3.8,"M",20,2.75,3.75,22,2.58333333333333
"79",3.1,"M",22,3,3.08333333333333,31,3.33333333333333
"80",3.5,"M",21,1.625,4.75,23,2.83333333333333
"81",3.6,"F",22,1.875,4.25,26,2.5
"82",2.6,"F",23,3.375,4.16666666666667,12,2.41666666666667
"83",4.4,"M",21,3.75,4.41666666666667,26,2.41666666666667
"84",4.5,"M",22,2.125,3.83333333333333,31,2.58333333333333
"85",3.2,"M",29,2.375,3.33333333333333,19,3
"86",3.9,"F",29,2.75,3.16666666666667,30,2
"87",2.5,"F",21,3.125,3.16666666666667,12,3.41666666666667
"88",3.3,"M",28,3.5,3.83333333333333,17,2.83333333333333
"89",3.3,"F",21,2.625,4.25,18,2.25
"90",3,"F",30,3.375,3.83333333333333,19,2.75
"91",2.9,"F",21,2.25,3.66666666666667,21,3.91666666666667
"92",3.3,"M",23,3,3.83333333333333,24,2.33333333333333
"93",3.3,"F",21,4,3.83333333333333,28,2.75
"94",3.5,"F",21,3.5,3.83333333333333,17,2.75
"95",3.6,"F",20,2.625,3.66666666666667,18,2.91666666666667
"96",3.7,"M",22,2.5,4.33333333333333,17,2.08333333333333
"97",4.2,"M",21,3.75,3.75,23,3.66666666666667
"98",3.2,"M",21,3.625,4.16666666666667,26,2.83333333333333
"99",5,"F",20,4.125,4,28,3.41666666666667
"100",4.7,"M",22,4.375,4,31,1.58333333333333
"101",3.6,"F",20,2.625,4.58333333333333,27,2.91666666666667
"102",3.6,"F",20,4,3.66666666666667,25,3
"103",2.9,"M",24,2.75,3.66666666666667,23,2.91666666666667
"104",3.5,"F",20,2.75,3.83333333333333,21,2.66666666666667
"105",4,"F",19,1.375,2.58333333333333,27,3
"106",3.5,"F",21,2.25,3.5,28,2.75
"107",3.2,"F",21,3.625,3.08333333333333,23,3.08333333333333
"108",2.6,"F",22,3.75,4.25,21,2.5
"109",2,"F",25,4,3.16666666666667,25,2.33333333333333
"110",2.7,"F",21,3.125,3.08333333333333,11,3
"111",3.2,"F",22,3.25,4.16666666666667,19,3
"112",3.3,"F",25,2.125,2.25,24,4
"113",3.9,"F",20,2.875,3.33333333333333,28,3.25
"114",3.3,"M",24,1.5,3.08333333333333,21,3.5
"115",3,"F",20,2.5,2.75,24,3.5
"116",3.7,"M",21,3.25,3.25,24,3.83333333333333
"117",2.5,"F",20,3.625,4,20,2.91666666666667
"118",2.9,"F",20,3.875,3.58333333333333,19,2.16666666666667
"119",3.9,"M",31,3.875,4.08333333333333,30,1.66666666666667
"120",3.6,"F",20,2.375,4.25,22,2.08333333333333
"121",2.9,"F",22,3,3.41666666666667,16,2.83333333333333
"122",2.1,"F",22,3.375,3.08333333333333,16,3.41666666666667
"123",3.1,"M",21,2.75,3.5,19,3.33333333333333
"124",4,"M",22,4.5,3.66666666666667,30,2.58333333333333
"125",3.1,"F",21,2.625,4.25,23,2.83333333333333
"126",2.3,"F",21,2.75,4.25,19,3.33333333333333
"127",2.8,"F",21,3.25,3.83333333333333,18,3
"128",3.7,"F",21,4.125,4.41666666666667,28,2.58333333333333
"129",2.6,"F",20,3.375,3.5,21,2.41666666666667
"130",2.4,"F",21,2.75,3.58333333333333,19,3.58333333333333
"131",3,"F",25,4.125,3.66666666666667,27,2.08333333333333
"132",2.8,"M",21,3.25,2.08333333333333,24,4.33333333333333
"133",2.9,"F",24,2.875,4.25,21,2.66666666666667
"134",2.4,"F",20,2.875,3.58333333333333,20,3
"135",3.1,"M",21,2.375,4,28,2.66666666666667
"136",1.9,"F",20,3.875,3.33333333333333,12,2.16666666666667
"137",2,"F",20,2.125,3.5,21,2.66666666666667
"138",3.8,"F",18,4,3.16666666666667,28,2.25
"139",3.4,"F",21,3.25,3.58333333333333,31,2.66666666666667
"140",3.7,"F",19,2.625,3.41666666666667,18,3.33333333333333
"141",2.9,"F",21,2.75,4.25,25,3.5
"142",2.3,"F",20,4,3.25,19,2.75
"143",4.1,"M",21,3,4.41666666666667,21,2
"144",2.7,"F",20,3.375,3.25,16,2.83333333333333
"145",3.5,"F",21,3.875,3.91666666666667,7,3.5
"146",3.4,"F",20,3.25,3.58333333333333,21,2.5
"147",3.2,"F",18,3.375,4.5,17,3.16666666666667
"148",3.3,"M",22,4.125,3.58333333333333,22,3.08333333333333
"149",3.3,"F",22,3.5,3.66666666666667,18,2.91666666666667
"150",3.5,"M",24,2,2.58333333333333,25,3.16666666666667
"151",3.2,"F",19,3.625,4.16666666666667,24,2.5
"152",3.1,"F",20,3.375,3.25,23,3.83333333333333
"153",2.8,"F",20,2.125,4.33333333333333,23,2.25
"154",1.7,"F",17,4.625,3.91666666666667,26,3.41666666666667
"155",1.9,"M",19,2.5,2.66666666666667,12,3.75
"156",3.5,"F",20,2.875,3.08333333333333,32,3
"157",2.4,"F",20,2.75,3.75,22,2.58333333333333
"158",2.1,"F",20,4,4.16666666666667,20,3.33333333333333
"159",2.9,"F",20,2.375,4.16666666666667,21,2.83333333333333
"160",1.9,"F",19,3.875,3.25,23,3
"161",2,"F",19,3.375,4.08333333333333,20,2.83333333333333
"162",4.2,"F",22,1.75,2.91666666666667,28,3.16666666666667
"163",4.1,"M",35,3,3.83333333333333,31,2.75
"164",3.7,"F",18,2.625,3.16666666666667,18,3.41666666666667
"165",3.6,"F",19,2.625,3.41666666666667,30,3
"166",1.8,"M",21,3.375,4.08333333333333,19,2.66666666666667
